track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,decade,mood
Go!,Common,spotify:track:4JNTpbntShpUpACDUzwHV5,0.838,0.763,10,-11.132,0,0.227,0.0915,1.37e-05,0.123,0.544,104.958,224160,4,33.1031,11,2000s,surprise
Tim McGraw,Taylor Swift,spotify:track:0Om9WAB5RS09L80DyOfTNa,0.58,0.491,0,-6.462,1,0.0251,0.575,0.0,0.121,0.425,76.009,232107,4,37.2285,13,2000s,happy
Stars,The xx,spotify:track:57x3uHJoS1IaJ7XgCGeMtM,0.676,0.2,9,-17.735,0,0.0282,0.826,0.0289,0.144,0.176,104.016,262640,4,39.8548,12,2000s,sad
Collapse Of The Wave Function,Schloss Tegal,spotify:track:60quccDjXmjuPXUlwXof1u,0.162,0.98,1,-9.488,1,0.125,0.901,0.925,0.175,0.0193,129.706,252187,3,32.46683,10,2000s,angry
A Thousand Miles,Vanessa Carlton,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,0.56,0.825,11,-3.862,1,0.0379,0.323,0.0,0.161,0.268,94.931,237493,4,30.80049,11,2000s,angry
Who Wouldn't Wanna Be Me,Keith Urban,spotify:track:7MtZJEuIZ6GEKGSN7ttTkX,0.666,0.817,2,-6.072,1,0.0453,0.115,1.18e-05,0.0668,0.826,120.02,221120,4,28.31947,11,2000s,happy
Knights,Crystal Castles,spotify:track:16HixADiBNDayJ237F8ag0,0.605,0.588,8,-5.924,0,0.0339,1.41e-05,0.609,0.0927,0.81,111.989,193707,4,34.07736,8,2000s,happy
Pagan Poetry,Björk,spotify:track:0mc51xomEC6CZUZdB8xgQU,0.513,0.46,1,-8.201,0,0.0298,0.484,5.04e-06,0.0816,0.139,131.984,314867,4,44.36302,12,2000s,sad
I Love Acid,Luke Vibert,spotify:track:1LQmyPcWxfN7yih7FYUNXe,0.804,0.872,6,-7.931,1,0.052,0.00595,0.521,0.211,0.856,110.409,259027,4,34.8959,11,2000s,happy
People Are Crazy,Billy Currington,spotify:track:5JnLiuMgRAWoHYOhatFP3s,0.651,0.699,5,-5.006,1,0.0265,0.213,0.000265,0.12,0.36,141.938,231360,4,48.70181,10,2000s,happy
Apologize,Silverstein,spotify:track:6Z0gK8Fp0AqS9EX8Icp4hj,0.478,0.72,1,-6.845,1,0.0415,0.000728,0.0,0.0947,0.26,135.129,175320,4,29.0577,11,2000s,fear
Electrical Storm,U2,spotify:track:3gkijt6bxk8ts6S2RCEu4n,0.229,0.5,4,-6.769,1,0.0312,0.166,0.000248,0.454,0.185,96.022,277467,4,34.31841,8,2000s,fear
Remember When,Alan Jackson,spotify:track:1nCSr7oGeUv7sUEoYuAJFF,0.558,0.314,2,-10.623,1,0.0295,0.709,0.000319,0.193,0.267,125.59,271280,4,86.75239,11,2000s,sad
Thumari - Folk,Vikash Maharaj,spotify:track:4Bj49xhqaCiullkzDMBjMG,0.494,0.446,10,-14.902,1,0.0527,0.889,0.582,0.15,0.256,138.779,607413,4,38.69155,25,2000s,happy
You Can Get It All,Bow Wow Featuring Johnta Austin,spotify:track:2zcjGIvtu2EKBNquStm1pp,0.783,0.765,9,-5.227,1,0.145,0.31,0.0,0.0777,0.692,89.006,216840,4,26.08688,9,2000s,happy
Linda Cançao,Barrio Jazz Gang,spotify:track:7j9R8UwGYw4Ne76lJN2SO0,0.805,0.693,9,-10.266,0,0.0409,0.0605,0.831,0.06,0.861,120.023,245056,4,32.55561,12,2000s,happy
(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,spotify:track:6k8uthjEbttfWXcGaNTQGD,0.711,0.761,8,-3.04,1,0.225,0.067,0.0,0.041,0.718,95.824,243880,4,62.62715,12,2000s,happy
Dum I Huet,Joddla Med Siv,spotify:track:0d8gRz29f7S0SKAJxToU3q,0.703,0.867,0,-4.309,1,0.0253,0.246,0.0,0.313,0.82,96.006,286427,4,30.77296,12,2000s,happy
Techno Dream,Shades of Rhythm,spotify:track:53HNnH9tWO3QiG7gFmvXyn,0.725,0.752,10,-12.972,0,0.0615,0.0154,0.79,0.105,0.134,130.797,283653,4,23.39094,11,2000s,sad
Sahti Waari,Turisas,spotify:track:5clUjbxHSe1IEJX7LEH3rv,0.42,0.885,0,-6.611,1,0.0466,0.00243,0.921,0.31,0.68,159.853,148293,4,24.90147,10,2000s,surprise
Get Through This,Art Of Dying,spotify:track:1fS9dkLwdK7oGuH0aQ7aHd,0.561,0.929,2,-3.201,1,0.128,0.000249,0.00027,0.0588,0.472,133.129,148107,4,29.82113,8,2000s,angry
House On Me,Young Dro,spotify:track:5Vqqk4EZ0jCz5yzMhhPC2c,0.658,0.947,10,-4.12,0,0.384,0.288,0.0,0.344,0.506,88.27,229512,4,39.93658,10,2000s,angry
Stop And Stare,OneRepublic,spotify:track:48s0QHJgmiNsth3WEO6U4M,0.492,0.859,4,-4.274,1,0.0332,0.0659,0.0,0.0756,0.251,92.474,223853,4,55.18632,8,2000s,angry
Chrome,Trace Adkins,spotify:track:26ycbqowYZ01xEqdtfr0EW,0.474,0.924,9,-3.923,1,0.062,0.112,6.93e-06,0.229,0.774,179.746,201693,4,22.63658,10,2000s,happy
Gimme Danger,The Stooges,spotify:track:0yOcVe3GzHnKT2bdlVb8jR,0.361,0.859,3,-5.122,0,0.0585,0.00339,0.679,0.0864,0.231,132.222,213800,4,67.41761,10,2000s,sad
I Need You,LeAnn Rimes,spotify:track:046MBhhgQJJghnbgZCkaAR,0.478,0.736,7,-7.124,1,0.0367,0.02,9.58e-05,0.118,0.564,144.705,229827,4,30.74128,12,2000s,surprise
Single,Natasha Bedingfield,spotify:track:5BFMUpscSbYVT2V9j5d275,0.621,0.644,2,-5.624,1,0.115,0.0466,0.0,0.549,0.526,168.015,237600,4,34.20135,11,2000s,fear
Nuke The Cross,Toxic Holocaust,spotify:track:41DPdRpN14Xv8khpafNZmg,0.396,0.983,2,-5.001,1,0.0591,1.13e-05,0.531,0.24,0.457,99.29,167800,4,47.84912,6,2000s,surprise
Mindhalálig Rock and Roll - Live,Kalapács,spotify:track:5qDO792lZICUfUs0yJ6AlP,0.25,0.975,2,-5.394,1,0.2,0.00775,8.37e-05,0.917,0.148,177.952,277533,4,75.5265,10,2000s,fear
I'm Gonna Getcha Good!,Shania Twain,spotify:track:2fgRmQgz1qjLWC3TxgkgvM,0.738,0.76,1,-4.521,1,0.0305,0.0359,0.0,0.183,0.944,123.993,270827,4,48.27846,14,2000s,happy
Change,Taylor Swift,spotify:track:1yACRKAwlXWhXXFUSkvzhD,0.541,0.77,5,-4.17,1,0.0354,0.00408,0.0,0.117,0.215,96.013,280240,4,47.68918,12,2000s,angry
Megalomaniac,Incubus,spotify:track:1rSo624QuuCteNxAzsU3SV,0.532,0.943,7,-4.549,0,0.0512,0.0056,0.000587,0.317,0.371,140.042,294800,4,31.64206,12,2000s,angry
What Hurts The Most,Rascal Flatts,spotify:track:4bVuIlGQBMWS7vIhcx8Ae4,0.537,0.674,5,-5.134,0,0.0277,0.0088,0.0,0.265,0.33,136.002,214107,4,40.21927,10,2000s,sad
Upton Jail,Nigel Eaton,spotify:track:28MXLruIJN5iFlTqu0qO50,0.332,0.353,5,-15.538,1,0.0483,0.159,0.511,0.223,0.301,121.303,160360,4,34.81736,5,2000s,happy
Cloud Dancer,Solomun,spotify:track:5TK1L67yf2Uk707UiBI9C4,0.811,0.726,1,-7.883,0,0.0442,0.00016,0.775,0.109,0.311,124.005,403693,4,60.05914,12,2000s,happy
Part II,Method Man & Redman,spotify:track:2n7h09QrGitVul66b2D8Re,0.775,0.837,10,-4.965,0,0.39,0.0383,0.0,0.315,0.807,95.86,244600,4,34.09342,10,2000s,happy
Chasing Pavements,Adele,spotify:track:71WAtDcWVYMoCsblD2uQXx,0.621,0.473,5,-6.07,0,0.0251,0.312,0.0,0.11,0.325,80.027,210507,4,25.109,11,2000s,sad
Time Warp,The Rocky Horror Show Original Cast,spotify:track:6kYYtMDDiOwhFbfHp1gG3a,0.455,0.804,2,-10.648,1,0.468,0.352,3.39e-06,0.0838,0.45,160.02,210373,4,48.21939,11,2000s,surprise
Shamu,Vincent de Moor,spotify:track:39YH3LoWHNDX6EVPb0dsio,0.688,0.838,0,-13.33,0,0.0358,0.07,0.91,0.0927,0.758,137.047,389440,4,88.06805,11,2000s,happy
American Soldier,Toby Keith,spotify:track:0oVWPlnK5eAqnJCVB0FvpP,0.565,0.541,9,-8.426,1,0.0376,0.193,3.45e-06,0.0582,0.226,82.006,263333,4,59.17569,10,2000s,fear
Let Me In,Young Buck,spotify:track:6qkZ6D3ogNyW2YDWsz7e3z,0.685,0.89,1,-4.302,0,0.32,0.117,0.0,0.0399,0.67,91.196,224253,4,42.08394,10,2000s,angry
Moon,Jeunesse D'Ivoire,spotify:track:0CC1lpS9ldueyirStjBoSD,0.32,0.492,5,-6.388,1,0.0338,0.688,0.00399,0.288,0.0356,110.064,187413,1,22.05484,10,2000s,fear
Sweet Talk,Dear and the Headlights,spotify:track:757fXABDTbalNzihYS3mUc,0.429,0.913,11,-5.945,1,0.0431,0.000319,4.73e-05,0.101,0.739,161.122,177067,4,36.97701,9,2000s,happy
I Don't Want To Be,Gavin DeGraw,spotify:track:4vl2zwXsTmAxgu9iY0g6UK,0.423,0.862,0,-5.13,0,0.0695,0.00791,0.0,0.133,0.462,154.746,217760,4,37.31692,11,2000s,surprise
Ghost,Mnemic,spotify:track:6AX0wYm5LrDxwA94CwwYSH,0.549,0.937,1,-5.049,1,0.0852,4.84e-06,0.883,0.192,0.185,110.997,335400,4,84.23188,8,2000s,angry
Angel,Natasha Bedingfield,spotify:track:1pJJcWEtSpbv8UAom5bkvW,0.566,0.749,2,-4.435,1,0.0507,0.0574,0.0,0.388,0.503,134.909,246947,4,101.60279,10,2000s,surprise
What Would You Do (If You Married A Soldier)?,Beatnik Turtle,spotify:track:5jfjOO0JaZxtWR7WF58LVq,0.489,0.915,2,-7.551,1,0.109,0.35,8.97e-06,0.29,0.777,134.932,92387,4,44.97998,5,2000s,happy
Like A Boy,Ciara,spotify:track:358bOvBiZCS9fRzNYosw6c,0.701,0.724,0,-5.751,0,0.145,0.267,0.0,0.0867,0.425,132.035,237053,4,74.40183,9,2000s,surprise
Kala Chashma,Amar Arshi,spotify:track:6V80i60nEL6gauNAiJBvXd,0.759,0.947,6,-6.845,1,0.127,0.312,0.219,0.322,0.942,95.01,382169,4,99.07484,18,2000s,happy
Autobots,Steve Jablonsky,spotify:track:1hQMzVXdoDZXcO16GOhWc5,0.392,0.492,7,-14.757,0,0.057,0.572,0.959,0.109,0.175,80.016,153027,3,63.49976,4,2000s,sad
Kiru Kiru,Karthik,spotify:track:4sYnvkSVUSNYK0TEkz35T1,0.795,0.599,0,-9.877,1,0.069,0.127,3.39e-06,0.0637,0.656,103.987,269710,4,23.74657,15,2000s,happy
I'm A Believer,Smash Mouth,spotify:track:1RC5Mb0VhnlhnMlFDnrvE0,0.559,0.972,6,-3.524,1,0.0639,0.0198,6.47e-06,0.393,0.919,82.336,183400,4,24.48016,9,2000s,happy
Lean Back,Terror Squad,spotify:track:2Ozc0me9PV5vlt8cokwdvI,0.799,0.916,1,-3.344,1,0.471,0.11,0.0,0.0746,0.697,126.687,247427,5,31.95474,8,2000s,happy
It Won't Be Like This For Long,Darius Rucker,spotify:track:4gzeYkzuzxuzAUTsGcdjqA,0.584,0.524,4,-6.001,1,0.0287,0.335,0.0,0.11,0.389,143.863,219000,4,64.5286,9,2000s,happy
Who Knew,P!nk,spotify:track:7uYl7xgDeAOHP98obvrJvB,0.688,0.733,9,-4.569,1,0.0274,0.00462,0.0,0.0756,0.459,140.004,208493,4,34.53145,10,2000s,surprise
"Live, Laugh, Love",Clay Walker,spotify:track:3Th5HBAlRZF0oN31ubxHA9,0.647,0.746,2,-10.597,1,0.0437,0.195,0.0,0.0271,0.946,98.991,246267,4,27.97003,11,2000s,happy
Bassboxxx Clique,MOK,spotify:track:5xBtnfN3M5hRRz6EmfTnPg,0.572,0.896,5,-4.027,0,0.296,0.0201,0.0,0.371,0.417,133.258,228533,4,38.11334,12,2000s,angry
What A Feeling (feat. Paul Wall),Collie Buddz,spotify:track:3gYXmP2ACbItUd1YKSQ4k8,0.712,0.842,6,-6.119,0,0.132,0.0245,8.02e-06,0.194,0.943,95.479,271627,4,86.8161,10,2000s,happy
Combat Rock,Sleater-Kinney,spotify:track:5y4ir3rrNj6SVZ19eVsFR6,0.458,0.883,1,-3.88,0,0.0293,0.00868,0.000141,0.175,0.714,99.165,286933,4,46.96382,14,2000s,angry
Karukara,Avial,spotify:track:1jLueuOJatO8H5HY8JVLf9,0.634,0.727,0,-8.802,1,0.0295,0.234,0.141,0.0998,0.484,135.009,380533,4,23.13722,13,2000s,surprise
Dem Boyz,Boyz N Da Hood,spotify:track:59xyRqG06dGbTmmJFVFbyQ,0.782,0.63,1,-5.683,1,0.162,0.00161,0.0,0.151,0.295,78.516,256800,4,25.26759,10,2000s,happy
If You're Gone,matchbox twenty,spotify:track:2f5N826udWfjT9iomeaBJt,0.544,0.659,9,-7.191,1,0.0298,0.427,1.33e-06,0.126,0.361,109.933,274933,4,73.29402,12,2000s,happy
Sweetness,Jimmy Eat World,spotify:track:429IbFR4yp2J81CeTwF5iY,0.487,0.898,5,-4.436,1,0.038,0.00305,0.0,0.26,0.597,135.331,220027,4,30.26368,10,2000s,angry
Tumhi Dekho Naa,Shankar-Ehsaan-Loy,spotify:track:2ILhVeTkbDAYEvesCCBsNo,0.525,0.448,2,-10.365,0,0.0391,0.572,1.51e-05,0.107,0.356,81.131,347453,4,41.17917,16,2000s,sad
Won't Go Home Without You,Maroon 5,spotify:track:0tuyEYTaqLxE41yGHSsXjy,0.737,0.615,3,-3.76,1,0.0317,0.0149,0.0,0.102,0.41,110.023,231173,4,29.61786,12,2000s,happy
Violin Concerto: Movement III,Philip Glass,spotify:track:3q2erqoWhkIS8krr61AN12,0.234,0.187,2,-18.682,0,0.0426,0.817,0.93,0.111,0.0377,157.795,570147,3,20.40516,26,2000s,sad
Hate Me,Blue October,spotify:track:1tL40tfdtUaSLek4DvDDr3,0.449,0.691,4,-5.65,0,0.0349,0.477,0.0,0.0966,0.201,93.267,380200,4,50.1965,13,2000s,sad
3D,I See Stars,spotify:track:4kXAA0di6nDnM6OxDlAwFq,0.48,0.936,5,-6.214,1,0.116,0.000167,0.0,0.277,0.31,130.073,191960,4,35.21638,9,2000s,happy
Can't Let Go,Anthony Hamilton,spotify:track:4mBy2d5IY5rQkidZBKXxfT,0.65,0.501,10,-6.905,1,0.0963,0.582,0.0,0.112,0.374,127.984,232533,4,53.27294,10,2000s,happy
Hey Good Lookin',"Jimmy Buffett With Clint Black, Kenny Chesney, Alan Jackson, Toby Keith & George Strait",spotify:track:2TSc7ee1OQPb4tuXsi2X7W,0.714,0.885,7,-5.922,1,0.0411,0.211,3.87e-06,0.255,0.91,141.371,183293,4,40.49696,10,2000s,happy
You're No Rock n' Roll Fun,Sleater-Kinney,spotify:track:2MpQ5fmTk1UwnAkO6XmXIi,0.582,0.969,6,-3.073,1,0.0465,0.0665,0.000227,0.221,0.74,141.974,157720,4,27.38057,6,2000s,happy
Here We Go,Trina Featuring Kelly Rowland,spotify:track:6b3CWHNAKiJRqmgz6ZcWaB,0.814,0.494,8,-7.167,1,0.0846,0.624,0.0,0.0888,0.607,128.083,230973,4,44.2165,11,2000s,happy
Lucia di Lammermoor: Spargi d'amaro pianto,Gaetano Donizetti,spotify:track:5WtqWTGxWaa7ST9AnIldBl,0.329,0.0369,3,-24.656,1,0.0692,0.989,0.00296,0.0722,0.0705,107.405,322533,4,98.71125,13,2000s,sad
My First Love,Avant Featuring KeKe Wyatt,spotify:track:1y2wM4Qxn27EOsQnhHYA3Q,0.643,0.368,11,-8.379,0,0.033,0.0237,1.35e-06,0.157,0.414,125.95,268516,4,30.43859,15,2000s,sad
How To Deal,Frankie J,spotify:track:05wbsMDvcaD56O4SnESOaJ,0.749,0.495,2,-8.456,1,0.0332,0.0584,0.0,0.201,0.645,126.12,230507,4,31.60271,10,2000s,happy
Where The Little Jesus Sleeps,Harry Belafonte,spotify:track:5LZTD5POD0t1sQ2lRGHtt7,0.46,0.0403,5,-24.472,1,0.0543,0.977,0.31,0.0537,0.156,87.746,129267,4,43.11708,6,2000s,sad
Jazz Combo - When I Wish Upon A Star,Nicola Conte,spotify:track:4UieCJo65eZyHnpHinWyvX,0.328,0.576,1,-7.052,1,0.0343,0.716,3.23e-05,0.146,0.535,180.44,278962,3,32.938,14,2000s,fear
Sweet Thing,Keith Urban,spotify:track:21zOTXChnP7ghgn3fVKuSF,0.621,0.888,8,-6.199,1,0.0443,0.19,1.7e-05,0.151,0.651,102.986,228187,4,37.66788,10,2000s,surprise
See You In My Nightmares,Kanye West Featuring Lil Wayne,spotify:track:5zuoz1NBnpoHK6g5sbEH8F,0.676,0.432,7,-8.035,0,0.0339,0.0626,0.0,0.103,0.156,124.597,258120,4,46.82514,11,2000s,sad
3,Britney Spears,spotify:track:6pymOcrCnMuCWdgGVTvUgP,0.697,0.709,5,-1.917,0,0.0455,0.0452,0.0,0.138,0.787,134.91,213173,4,42.2507,9,2000s,happy
Leave The World Behind - Radio Edit,Axwell,spotify:track:25ZEYUgCJyf3gRxkqYbkIc,0.525,0.849,10,-7.727,0,0.0484,0.00232,0.00196,0.322,0.277,128.055,161719,4,31.19314,8,2000s,sad
Cemetary Gates,Between The Buried And Me,spotify:track:0uE8lHDb6aVXXgVY5RFNGJ,0.304,0.9,6,-6.099,1,0.0423,0.00227,0.25,0.0809,0.385,147.637,425987,4,68.66794,12,2000s,surprise
Go Getta,Young Jeezy Featuring R. Kelly,spotify:track:03b1NUHnoavfpLLKcEMfIb,0.397,0.74,3,-6.584,0,0.143,0.105,0.0,0.15,0.431,174.039,229347,4,19.29173,11,2000s,surprise
You And Me,Lifehouse,spotify:track:0815caqt2Lytro5EIzMufT,0.459,0.427,7,-7.734,1,0.0267,0.114,0.0,0.168,0.354,139.902,195493,3,33.62282,9,2000s,happy
IfULeave,Musiq Soulchild Featuring Mary J. Blige,spotify:track:4GhbRPmkVfAZmSQZqdifrn,0.467,0.752,11,-3.244,1,0.232,0.208,0.0,0.164,0.728,122.775,252440,4,55.66011,12,2000s,happy
"Potpourri nach Motiven aus der Oper Euryanthe von Carl Maria von Weber, Op. 145: I. Intoduzione",Joseph Küffner,spotify:track:1055Z97gPIwZQa7WzLzTVC,0.321,0.0372,0,-25.095,1,0.0384,0.99,0.859,0.111,0.324,110.932,190360,4,67.06529,7,2000s,sad
Come Back To Me,David Cook,spotify:track:55r33uTqnLglVMHb1qeWOd,0.476,0.895,4,-4.857,1,0.0299,0.0101,1.02e-06,0.127,0.632,108.087,248000,4,23.60003,10,2000s,angry
Total Eclipse (Liebesduett / Totale Finsternis),Marjan Shaki,spotify:track:3rFXzmlfAr8gPyOR2irOKU,0.381,0.651,9,-6.973,1,0.0685,0.66,0.0,0.976,0.181,121.336,428293,4,28.32796,16,2000s,fear
Luxurious,Gwen Stefani,spotify:track:3UQmoVQJqBYauTZLVPs3uo,0.811,0.726,0,-3.995,1,0.0813,0.154,0.0,0.116,0.666,131.027,264920,4,31.34984,12,2000s,happy
Jayamangalam - genre: Vocal; Raga: Ghanta; Tala: Jhampe,M. Balamuralikrishna,spotify:track:4WX6lqmizBV4H7DC6AtXAJ,0.477,0.47,11,-7.407,1,0.0377,0.784,1.94e-05,0.0941,0.523,144.466,449867,5,20.39952,28,2000s,surprise
Gettin' You Home,Chris Young,spotify:track:28Sc21lrWcZD9Ov4rRkPJq,0.639,0.678,7,-5.02,1,0.0278,0.44,1.45e-06,0.221,0.531,106.966,212133,4,47.61405,12,2000s,happy
A House Is Not A Home,Rob White,spotify:track:1mMrw0Kapu4aR5AJ5I6BAT,0.38,0.442,0,-6.782,1,0.029,0.234,0.465,0.146,0.0557,103.933,433627,4,19.33206,21,2000s,fear
How You Want That,Loon Featuring Kelis,spotify:track:0EEYgsFx2xUQcFcQrwwEV3,0.895,0.827,8,-4.465,1,0.0598,0.343,0.000951,0.0435,0.899,101.2,265560,4,26.995,13,2000s,happy
Soul Survivor,Young Jeezy Featuring Akon,spotify:track:0Ss50OU9tCozI7JIywkv14,0.682,0.483,10,-7.718,1,0.0451,0.00103,0.0,0.159,0.108,84.012,280013,4,69.75457,8,2000s,fear
No Me Doy Por Vencido,Luis Fonsi,spotify:track:4lerOTNr2tFWJCAmmhymhi,0.31,0.663,3,-6.075,1,0.101,0.443,0.0,0.609,0.407,172.768,239400,3,19.01281,10,2000s,fear
Blurry,Puddle Of Mudd,spotify:track:6lSr3iZTC144PKhvbPFzMp,0.431,0.938,3,-4.507,0,0.0542,0.00805,0.0,0.138,0.523,157.462,304000,4,37.39065,12,2000s,surprise
The World Belongs to Us,Informatik,spotify:track:0WBFRu3WtpmE8WS8xUGtha,0.466,0.998,3,-8.933,0,0.0604,0.0191,0.934,0.128,0.599,137.986,341467,4,20.66498,14,2000s,surprise
Silla De Metal,Sherpa,spotify:track:3UESPzXDTX1tAVlo3YGx8N,0.338,0.93,1,-6.172,1,0.169,0.00384,0.000351,0.666,0.324,139.14,263627,4,21.54506,11,2000s,happy
Lay Low,"Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz",spotify:track:4QNJd8ma02Oy9PBenHErs1,0.723,0.644,0,-4.803,1,0.45,0.151,0.0,0.199,0.743,189.537,222360,4,39.44697,10,2000s,happy
Laredo,Chris Cagle,spotify:track:1FPdKaYo5DK8oxCwkUq0GS,0.47,0.794,1,-5.784,1,0.0438,0.16,0.0,0.0927,0.673,159.983,229573,4,24.1993,13,2000s,surprise
I Don't Care,Fall Out Boy,spotify:track:7ewT0nLFkMD8ONbRibePr9,0.55,0.938,11,-3.556,0,0.0522,0.00171,2.18e-05,0.555,0.433,133.99,214493,4,48.82697,9,2000s,angry
In The Morning - Lost Love Dub,Monique Bingham,spotify:track:1mtYYMYtaTuhXhIm222tKt,0.798,0.816,10,-6.019,0,0.0754,7.33e-05,0.796,0.049,0.548,129.08,215748,4,15.4253,12,2000s,surprise
Alone,Amorphis,spotify:track:6jQhcI2VU8vlvDBW04Qjoh,0.288,0.856,5,-6.577,0,0.0606,5.6e-05,0.339,0.125,0.12,118.085,377933,4,37.34562,13,2000s,sad
I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,spotify:track:7n6TT5TDeS0A1DqEtSdapf,0.541,0.953,5,-4.229,1,0.107,0.048,0.0,0.192,0.856,111.378,228640,5,36.35695,9,2000s,happy
Not A Day Goes By,Lonestar,spotify:track:5hPZdsAI8Jo0mhq5J829Tb,0.53,0.305,6,-8.568,1,0.028,0.492,0.0,0.137,0.221,127.318,248040,4,55.66471,10,2000s,sad
Improvisation 4,Anthony Braxton,spotify:track:3RsOTsK2kDqw6809C4GLaZ,0.291,0.281,5,-14.198,1,0.0343,0.961,0.912,0.107,0.134,81.512,1369173,4,90.25815,46,2000s,sad
Stealing Cinderella,Chuck Wicks,spotify:track:6aOdhGqD0xuFM0OauOedNl,0.486,0.394,8,-8.728,1,0.0305,0.454,1.62e-05,0.122,0.32,69.467,242987,4,49.54572,13,2000s,happy
Failure By Designer Jeans,From First To Last,spotify:track:0gS5SDdFwpS0bgmfmlLdJl,0.423,0.909,4,-4.586,0,0.0781,0.000604,0.0,0.233,0.337,100.014,183293,4,43.07185,8,2000s,angry
Varnam- Ranjani - adi G.N.Balasubrmanian,Sudha Ragunathan,spotify:track:0238tZ00xEldEzS4RNH3Vn,0.499,0.552,8,-14.109,1,0.0566,0.946,0.932,0.113,0.961,155.659,223293,4,91.05651,8,2000s,happy
Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",spotify:track:4TJduXYW1Pg96EDNnfiwxJ,0.715,0.733,1,-7.068,1,0.262,0.134,0.0,0.157,0.897,87.665,295173,4,38.332,10,2000s,happy
Orgullo De Metal,Marco Antonio Solís,spotify:track:3bLw4lQyONxYm1Oc1bRWOi,0.462,0.51,0,-5.321,1,0.0289,0.143,3.38e-05,0.284,0.482,110.384,256400,3,77.42508,12,2000s,happy
Everything Hits At Once,Spoon,spotify:track:7B6ikv2D6EoK1KfWvuJBLB,0.785,0.575,9,-8.105,1,0.0341,0.213,0.000144,0.101,0.558,123.026,244240,4,44.31439,12,2000s,happy
Different,Egypt Central,spotify:track:41dUgxAhFlmsdHAjMm0QAP,0.483,0.946,6,-3.791,1,0.0506,1.03e-05,0.00451,0.0934,0.594,99.895,187027,4,20.07254,7,2000s,angry
Frauen schlafen nie - Elektro Pop Mix,Rosenstolz,spotify:track:15DvAj7S8gtGi5dbg8vUZ4,0.714,0.962,6,-5.097,0,0.0849,0.0222,1.65e-06,0.0429,0.888,130.921,172493,4,29.64801,8,2000s,happy
Tambourine - N - Thyme,Nana Grizol,spotify:track:49QIC3y2bu9A7uteVvL36J,0.486,0.763,0,-5.524,1,0.0277,0.546,0.000855,0.0837,0.539,111.94,149107,4,72.4969,7,2000s,surprise
Era of Terror,Genocide Commando,spotify:track:0JHsvsfBSgzoxGn6zYuQ9P,0.0699,0.963,0,-5.38,1,0.0886,6.45e-06,0.899,0.246,0.0314,180.21,248667,4,48.6622,12,2000s,fear
Reunion,Synapscape,spotify:track:4JpaLOQpjgBt8PyPYE2oYq,0.546,0.939,7,-7.662,1,0.109,0.164,0.901,0.384,0.037,113.886,371013,4,17.44348,7,2000s,angry
Rose Room,Bobby Hackett,spotify:track:6IiQ4O4AbDxDMD7izHbd8X,0.671,0.383,8,-13.421,1,0.0583,0.926,0.845,0.434,0.947,96.198,165628,4,47.1831,7,2000s,happy
Feel The Girl,Ms. Jade,spotify:track:1ONo2x3Lv4vhWoEd5A7U4q,0.919,0.627,4,-7.927,0,0.247,0.477,0.000271,0.105,0.721,103.888,246133,4,56.35901,12,2000s,happy
I Loved Her First,Heartland,spotify:track:0fZq48okuWkpAgjsWogAJ4,0.423,0.391,4,-6.517,1,0.0262,0.295,0.0,0.175,0.166,137.031,212013,3,29.34482,12,2000s,sad
Landed,Ben Folds,spotify:track:4mrVwQQiv8AkXoJWehbWsK,0.413,0.684,10,-6.099,1,0.0291,0.0557,4.76e-05,0.244,0.306,83.199,266773,4,20.66479,10,2000s,happy
Couldn't Last A Moment,Collin Raye,spotify:track:72mr7QyZEQbrX89SxtePOc,0.703,0.659,4,-7.395,1,0.0227,0.0977,0.0,0.128,0.665,96.735,220933,4,39.49052,10,2000s,happy
Na Tum Jano Na Hum,Lucky Ali,spotify:track:0zX7Zcf1ijrwrhT65pcdb8,0.515,0.519,9,-11.197,1,0.0397,0.323,0.000657,0.0566,0.582,89.499,383213,4,68.96461,20,2000s,happy
Maenam,Jami Sieber,spotify:track:6EUNwDbEUtQL4yMEVFiS0c,0.134,0.129,7,-17.113,1,0.0413,0.963,0.883,0.0996,0.0409,80.799,339253,4,53.57305,17,2000s,sad
War is Hell,Toxic Holocaust,spotify:track:5Re29vsgFUAr8aA8HQ7pof,0.165,0.941,2,-5.514,1,0.0544,3.43e-06,0.676,0.155,0.646,199.862,180867,4,21.59541,10,2000s,surprise
Sack Pop,Ganz Schön Feist,spotify:track:6uYha0wzZT81NMqLjg8J2g,0.746,0.529,5,-10.522,1,0.0538,0.779,3.4e-05,0.432,0.927,105.935,173440,4,32.40999,10,2000s,happy
This Place - Just Ain't Our Place,Brant Bjork,spotify:track:2YFGZweTQqWvBGtIFJgAP2,0.516,0.625,7,-9.677,1,0.0299,0.00302,0.236,0.104,0.569,87.467,274587,4,91.00593,11,2000s,happy
