name,artist,spotify_id,tags,genre,year,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_track_url
Top Yourself,The Raconteurs,3ZTScjTJav3Yak0OqLTuAL,"rock, alternative_rock, indie_rock, blues, american, 00s, blues_rock",Rock,2008,265506,0.505,0.727,-5.391,0.058,0.188,0.000826,0.0862,0.254,85.899,https://open.spotify.com/track/3ZTScjTJav3Yak0OqLTuAL
You Already Know,Arcade Fire,0lijVPETlmWEPFzGXMjhDs,"rock, indie, indie_rock",unknown,2013,239065,0.313,0.913,-4.589,0.104,0.0295,6.71e-06,0.697,0.597,177.125,https://open.spotify.com/track/0lijVPETlmWEPFzGXMjhDs
Day Old Blues,Kings of Leon,0MwGTg502DxVZmkAlbTOn9,"rock, indie, indie_rock, blues, acoustic, 00s, blues_rock",Rock,2004,212986,0.475,0.263,-9.783,0.0693,0.875,0.0,0.107,0.0693,85.494,https://open.spotify.com/track/0MwGTg502DxVZmkAlbTOn9
When The Lights Go Out,The Black Keys,0gnzpl2JlVi7GbR1IM8nkH,"indie_rock, blues, blues_rock",Rock,2006,193186,0.528,0.733,-8.827,0.0301,0.919,0.0424,0.119,0.506,73.775,https://open.spotify.com/track/0gnzpl2JlVi7GbR1IM8nkH
Tape Song,The Kills,0XRxxPfC3BupyR3hofP0AO,"indie, alternative_rock, indie_rock, british",Rock,2008,215693,0.974,0.53,-4.131,0.0469,0.0285,0.00383,0.0532,0.797,115.999,https://open.spotify.com/track/0XRxxPfC3BupyR3hofP0AO
Don't Let Go,Weezer,0rvr0EL8pQLPL4OK2XDdWZ,"rock, alternative, indie_rock, 90s",Pop,2001,179533,0.376,0.91,-3.485,0.0448,3.8e-05,0.0161,0.188,0.584,142.662,https://open.spotify.com/track/0rvr0EL8pQLPL4OK2XDdWZ
Young Adult Friction,The Pains of Being Pure at Heart,0F7zFeQE3gplc3KBD0kzaw,"indie, indie_rock, american, indie_pop, 00s",unknown,2009,247946,0.461,0.712,-6.843,0.0408,3.53e-05,0.134,0.0381,0.865,163.066,https://open.spotify.com/track/0F7zFeQE3gplc3KBD0kzaw
Short Skirt/Long Jacket,Cake,0EOaNuMl6909gEJwsVcTCh,"rock, alternative, indie, alternative_rock, indie_rock, funk, 00s",unknown,2002,204160,0.774,0.897,-5.664,0.0478,0.00298,0.0449,0.0265,0.847,120.03,https://open.spotify.com/track/0EOaNuMl6909gEJwsVcTCh
Popular,Nada Surf,0k1ocls4SpeGkUkUoWIKk3,"rock, alternative, indie, alternative_rock, indie_rock, 90s",unknown,2013,218920,0.491,0.881,-6.241,0.0879,0.0136,2.83e-05,0.249,0.324,95.102,https://open.spotify.com/track/0k1ocls4SpeGkUkUoWIKk3
Commercial for Levi,Placebo,0d9uM6X3ZAsyJH17SjoN73,"rock, alternative, alternative_rock, indie_rock, british, britpop",Rock,2000,140760,0.808,0.662,-3.79,0.0327,0.23,0.000135,0.122,0.671,101.991,https://open.spotify.com/track/0d9uM6X3ZAsyJH17SjoN73
Spiral Staircase,Kings of Leon,0n2syVfw6vjpLJxb6B3Y3h,"rock, indie_rock",Rock,2003,174600,0.501,0.844,-6.179,0.0813,0.00255,0.0144,0.314,0.748,127.858,https://open.spotify.com/track/0n2syVfw6vjpLJxb6B3Y3h
Come Closer,Miles Kane,0hjZZRaxfrWtO30jjh0ni7,"rock, alternative, indie, indie_rock, british, britpop",Rock,2013,177493,0.518,0.668,-6.197,0.0404,0.0297,0.000892,0.0946,0.822,164.755,https://open.spotify.com/track/0hjZZRaxfrWtO30jjh0ni7
Space and Time,The Verve,1P7gg1ii1cyDElnspTWbkp,"rock, alternative_rock, indie_rock, british, 90s, britpop",unknown,1997,336640,0.209,0.73,-8.772,0.0381,0.0388,0.0133,0.148,0.346,164.758,https://open.spotify.com/track/1P7gg1ii1cyDElnspTWbkp
Old Flame,Arcade Fire,7mLreX6qDnHqnN1z4VeC5j,"rock, alternative, indie, indie_rock",unknown,2005,239306,0.343,0.774,-7.609,0.0311,0.000685,0.117,0.261,0.524,133.676,https://open.spotify.com/track/7mLreX6qDnHqnN1z4VeC5j
She's So Lovely,Scouting for Girls,0319iaXGqyd7VU74DrTfkX,"indie, indie_rock, british, indie_pop, britpop",unknown,2009,225906,0.496,0.811,-4.738,0.0621,0.122,0.0,0.0461,0.641,167.136,https://open.spotify.com/track/0319iaXGqyd7VU74DrTfkX
I'm Sleeping in a Submarine,Arcade Fire,5CChjE52dD2KdUGFsVbRTI,"rock, alternative, indie, alternative_rock, indie_rock, piano, beautiful",Rock,2005,167186,0.389,0.608,-7.531,0.0301,0.0254,0.101,0.206,0.13,90.009,https://open.spotify.com/track/5CChjE52dD2KdUGFsVbRTI
Bruised,Jack's Mannequin,0136sS6gKteOUCHS61J4WW,"alternative, indie_rock, singer_songwriter, piano, emo, love",Rock,2007,267146,0.602,0.531,-6.384,0.0285,0.799,0.0,0.11,0.39,122.06,https://open.spotify.com/track/0136sS6gKteOUCHS61J4WW
What She Said,The Smiths,5ZuQRmVhwT9oYFIrIWrjfl,"alternative, indie, indie_rock, 80s, british, new_wave, post_punk, indie_pop",unknown,1985,160567,0.0976,0.971,-4.264,0.157,0.000571,0.0671,0.122,0.191,82.64,https://open.spotify.com/track/5ZuQRmVhwT9oYFIrIWrjfl
Signal and Sign,Maxïmo Park,0zK3R2aPeRtpAZLDk8QYXZ,"indie, indie_rock, british",Rock,2005,145573,0.464,0.869,-4.415,0.0739,0.00417,0.000305,0.0821,0.636,167.971,https://open.spotify.com/track/0zK3R2aPeRtpAZLDk8QYXZ
Pitter Patter Goes My Heart,Broken Social Scene,1bItHl8whGFYBeLJqbFYMz,"indie, indie_rock, instrumental, post_rock",Rock,2002,144133,0.264,0.356,-16.74,0.0374,0.0446,0.806,0.152,0.0694,80.114,https://open.spotify.com/track/1bItHl8whGFYBeLJqbFYMz
Headlights Look Like Diamonds,Arcade Fire,2ex3qyEyqMio8DZ1xmDtON,"alternative, indie, indie_rock, indie_pop, love, beautiful, mellow",Rock,2005,265813,0.46,0.731,-6.866,0.0341,0.0041,0.234,0.101,0.227,146.116,https://open.spotify.com/track/2ex3qyEyqMio8DZ1xmDtON
Broken Box,Queens of the Stone Age,1pEev1B0bnZnuqg4loDsa8,"rock, alternative_rock, indie_rock, hard_rock, grunge",unknown,2005,182173,0.544,0.98,-2.454,0.135,0.235,0.46,0.0598,0.384,131.922,https://open.spotify.com/track/1pEev1B0bnZnuqg4loDsa8
Barricade,Interpol,0wSq1vm11VzAwWbpqiAWYF,"indie, indie_rock, post_punk",unknown,2010,246946,0.583,0.814,-8.197,0.054,5.19e-05,0.0018,0.0969,0.679,126.449,https://open.spotify.com/track/0wSq1vm11VzAwWbpqiAWYF
Herculean,"The Good, the Bad & the Queen",0zYtheRbGX9P8nlE7CH77b,"rock, alternative, indie, indie_rock, british, beautiful, 00s, britpop, chill",unknown,2006,239189,0.477,0.749,-6.093,0.029,0.0458,0.786,0.0744,0.33,135.259,https://open.spotify.com/track/0zYtheRbGX9P8nlE7CH77b
Caught By The River,Doves,09DTjKRypKm5qAzCZ49RzE,"indie, indie_rock, british, soundtrack, britpop",Rock,2010,355440,0.139,0.747,-5.867,0.0337,0.0357,4.24e-05,0.0736,0.241,95.657,https://open.spotify.com/track/09DTjKRypKm5qAzCZ49RzE
We Are All On Drugs,Weezer,1GHCkSLeu9qVIcg4ch3slb,"rock, alternative, alternative_rock, indie_rock, american, 00s",unknown,2005,214160,0.555,0.856,-2.972,0.0378,0.000621,1.58e-05,0.0831,0.362,117.795,https://open.spotify.com/track/1GHCkSLeu9qVIcg4ch3slb
Worship You,Vampire Weekend,5y02IcERVgEUItFLeeZDz6,"indie, indie_rock, american, indie_pop",unknown,2013,201240,0.474,0.919,-5.966,0.0779,0.00119,1.82e-06,0.314,0.303,149.055,https://open.spotify.com/track/5y02IcERVgEUItFLeeZDz6
Hamburg Song,Keane,02jZMEqhrdFHFt1D4aBAVo,"rock, indie, indie_rock, british, chillout, piano, love, beautiful, 00s, britpop, mellow",Rock,2006,277253,0.4,0.187,-11.204,0.0382,0.926,1.49e-05,0.0906,0.16,122.029,https://open.spotify.com/track/02jZMEqhrdFHFt1D4aBAVo
Porcelina of the Vast Oceans,The Smashing Pumpkins,26wxleodDcUD5rwGpUHlA8,"rock, alternative, alternative_rock, indie_rock, hard_rock, progressive_rock, 90s, psychedelic, american, beautiful, grunge",Rock,1995,561533,0.306,0.424,-12.301,0.0307,0.000671,0.713,0.075,0.0556,111.192,https://open.spotify.com/track/26wxleodDcUD5rwGpUHlA8
Set You Free,The Black Keys,0y3EfzxUNiqYOfE0acvolB,"rock, indie_rock, blues, 00s, blues_rock",unknown,2003,164800,0.437,0.907,-6.473,0.141,0.0286,2.67e-05,0.306,0.456,122.245,https://open.spotify.com/track/0y3EfzxUNiqYOfE0acvolB
Cigarette Smoker Fiona,Arctic Monkeys,4hQZ8QCXSi4U0zwZyYwq7O,"rock, indie, indie_rock, british",Rock,2006,178546,0.36,0.837,-7.238,0.192,0.000954,2.96e-05,0.0638,0.364,142.366,https://open.spotify.com/track/4hQZ8QCXSi4U0zwZyYwq7O
I Want to Hear What You Have Got to Say,The Subways,1WHbOzNhJMctTxbsOcNt93,"indie, indie_rock, british, britpop",Rock,2005,205320,0.312,0.771,-4.907,0.0809,0.00359,9.64e-06,0.0848,0.228,202.678,https://open.spotify.com/track/1WHbOzNhJMctTxbsOcNt93
Poor Places,Wilco,3IibqExsPY4IGb6GosdRXz,"rock, alternative, indie, indie_rock, psychedelic, indie_pop, country, love, beautiful, 00s",unknown,2005,331706,0.293,0.683,-9.753,0.0743,0.195,0.00187,0.298,0.205,94.439,https://open.spotify.com/track/3IibqExsPY4IGb6GosdRXz
Remember When (Side B),The Black Keys,0cnce0sx7WPvehMygkVOK7,"rock, indie_rock, blues, blues_rock",unknown,2008,130960,0.396,0.974,-5.094,0.12,0.00157,0.000107,0.131,0.429,137.365,https://open.spotify.com/track/0cnce0sx7WPvehMygkVOK7
The Finish Line,Snow Patrol,0iU2CEwydC8jYxAk7RHdnm,"rock, indie, alternative_rock, indie_rock, british, chillout, love, beautiful, britpop, mellow",Rock,2006,208613,0.262,0.231,-12.556,0.0347,0.754,8.47e-05,0.101,0.0391,112.544,https://open.spotify.com/track/0iU2CEwydC8jYxAk7RHdnm
Untitled 1,Keane,1B32P8gNzOgYBVo4dRyuyK,"rock, alternative, indie, indie_rock, british, beautiful, 00s, britpop, mellow, chill",Rock,2004,335933,0.586,0.779,-7.219,0.0282,0.0145,0.701,0.0681,0.584,103.973,https://open.spotify.com/track/1B32P8gNzOgYBVo4dRyuyK
Reptiles,Them Crooked Vultures,3NetpevmQfHXY0p2C0EoJa,"rock, alternative_rock, indie_rock, hard_rock, psychedelic_rock, blues_rock",Rock,2009,255786,0.511,0.934,-2.478,0.0801,0.00175,0.00229,0.307,0.663,105.038,https://open.spotify.com/track/3NetpevmQfHXY0p2C0EoJa
Kingdom of Doom,"The Good, the Bad & the Queen",1cqZtJC2VjLjrTxJVxoXDo,"rock, alternative, indie, indie_rock, british, chillout, 00s, britpop",Rock,2007,161979,0.465,0.727,-4.864,0.0289,0.0731,0.000535,0.144,0.214,133.931,https://open.spotify.com/track/1cqZtJC2VjLjrTxJVxoXDo
Decent Days And Nights,The Futureheads,0jI2UIQZuoLAbMOEXlWMgk,"rock, indie, indie_rock, british, post_punk, 00s, britpop",Rock,2005,152613,0.527,0.919,-2.96,0.056,0.106,4.52e-05,0.152,0.883,171.953,https://open.spotify.com/track/0jI2UIQZuoLAbMOEXlWMgk
Good Days Bad Days,Kaiser Chiefs,07akeyb6U6aV8REcowi9nG,"indie, indie_rock, british, 00s, britpop",Rock,2009,173975,0.615,0.707,-12.305,0.0464,0.000169,3.85e-06,0.113,0.791,112.048,https://open.spotify.com/track/07akeyb6U6aV8REcowi9nG
Bigger Than Us,White Lies,0a9dPtTwd4Q2ReTDlz0RUP,"alternative, indie, indie_rock, british, post_punk",Pop,2011,282640,0.314,0.916,-5.067,0.0485,0.000131,0.00251,0.0877,0.3,142.679,https://open.spotify.com/track/0a9dPtTwd4Q2ReTDlz0RUP
10 A.M. Automatic,The Black Keys,1eLcdcVWo1hIAjwJyG9LGY,"rock, indie_rock, blues, 00s, blues_rock",unknown,2004,178186,0.507,0.95,-3.308,0.0979,0.609,0.0914,0.0612,0.512,122.602,https://open.spotify.com/track/1eLcdcVWo1hIAjwJyG9LGY
I'll Be Around,Yo La Tengo,0WhbrQip6JiBuhFwho4QYH,"indie, indie_rock, soundtrack, male_vocalists, mellow",unknown,2013,283800,0.344,0.386,-9.665,0.0376,0.701,0.894,0.106,0.0983,132.169,https://open.spotify.com/track/0WhbrQip6JiBuhFwho4QYH
Carry On Up The Morning,Babyshambles,1AmvFNWHavLICNEbPimj2c,"indie, indie_rock, british, post_punk, britpop",Rock,2007,176307,0.438,0.811,-4.152,0.0312,0.00161,9.2e-05,0.427,0.544,106.866,https://open.spotify.com/track/1AmvFNWHavLICNEbPimj2c
Geraldine,Glasvegas,0x7L1Jp3nvOeaKVg0GGSyt,"rock, alternative, indie, indie_rock, british, 00s, britpop",Jazz,2008,225253,0.466,0.837,-3.752,0.037,0.000348,7.83e-05,0.408,0.16,119.873,https://open.spotify.com/track/0x7L1Jp3nvOeaKVg0GGSyt
The Lengths,The Black Keys,1c3SUhqXPDX8qZuPYh00LE,"rock, indie_rock, chillout, blues, mellow, chill, blues_rock",unknown,2004,293786,0.399,0.515,-5.896,0.0272,0.952,0.00122,0.165,0.271,143.486,https://open.spotify.com/track/1c3SUhqXPDX8qZuPYh00LE
Daddy's Eyes,The Killers,1sJy2Q9AwVmaN12lJWkXaz,"rock, alternative, indie, alternative_rock, indie_rock, american",Rock,2007,254760,0.284,0.925,-4.986,0.1,0.0029,0.00236,0.319,0.319,132.628,https://open.spotify.com/track/1sJy2Q9AwVmaN12lJWkXaz
Buck Rogers,Feeder,02XU8qhCOtUPdakvXDc2ij,"rock, indie, indie_rock, british, 00s, britpop",Rock,2014,193133,0.485,0.937,-5.257,0.0587,0.000296,0.000788,0.0992,0.172,120.842,https://open.spotify.com/track/02XU8qhCOtUPdakvXDc2ij
Push Your Head Towards The Air,Editors,0D60yJpWNE4exLkTx60K9i,"rock, alternative, indie, indie_rock, british, post_punk, beautiful",Rock,2007,344146,0.297,0.454,-6.355,0.0333,0.161,0.69,0.0914,0.0396,169.773,https://open.spotify.com/track/0D60yJpWNE4exLkTx60K9i
"You Just Haven't Earned It Yet, Baby",The Smiths,0BWq27izpSE7lq1vUXKqt0,"alternative, indie, indie_rock, 80s, british, new_wave, post_punk, indie_pop, britpop",unknown,2008,214653,0.549,0.905,-4.425,0.0358,0.012,0.00946,0.0349,0.744,141.172,https://open.spotify.com/track/0BWq27izpSE7lq1vUXKqt0
Syndicate,The Fray,0DsSReNVW0ew1qheR7D7EA,"rock, alternative, indie, alternative_rock, indie_rock, piano, male_vocalists, 00s, mellow",unknown,2003,209973,0.353,0.82,-5.303,0.041,0.215,0.0454,0.157,0.474,158.024,https://open.spotify.com/track/0DsSReNVW0ew1qheR7D7EA
Pony Up,Kings of Leon,10G0JC3xiqjPvpS18tj5rE,"alternative_rock, indie_rock, american",unknown,2010,184626,0.309,0.879,-5.296,0.0594,0.000808,0.115,0.0719,0.735,79.171,https://open.spotify.com/track/10G0JC3xiqjPvpS18tj5rE
The Hill,Bombay Bicycle Club,2wOd5RwZkjs78PkWCcZGS4,"indie, indie_rock, british",Rock,2009,238426,0.316,0.932,-6.002,0.0539,0.00106,0.403,0.122,0.478,160.635,https://open.spotify.com/track/2wOd5RwZkjs78PkWCcZGS4
Show You How,The Killers,0qXWJhU46zurMYQoAnBxdG,"rock, alternative_rock, indie_rock, psychedelic_rock",Rock,2007,166240,0.25,0.573,-5.855,0.0798,0.00101,1.73e-05,0.137,0.446,168.255,https://open.spotify.com/track/0qXWJhU46zurMYQoAnBxdG
Take Her Back,The Pigeon Detectives,2cM53Dw6QV3LJFROFeUt0q,"indie, indie_rock, british, britpop",unknown,2007,195146,0.488,0.961,-1.569,0.0318,0.00183,3.8e-06,0.194,0.636,109.564,https://open.spotify.com/track/2cM53Dw6QV3LJFROFeUt0q
I Can't Stop This Feeling I've Got,Razorlight,0P7tXi7EwT0V2KBNKPEcJG,"rock, indie, indie_rock, british, indie_pop, britpop",Rock,2006,205720,0.49,0.542,-7.039,0.0503,0.0275,8.46e-06,0.161,0.472,131.901,https://open.spotify.com/track/0P7tXi7EwT0V2KBNKPEcJG
Daria,Cake,0L6i8fI0Yci7I90xPQYYSn,"rock, alternative, alternative_rock, indie_rock, 90s, mellow",Rock,1996,224346,0.591,0.55,-9.307,0.0324,0.274,0.0,0.0605,0.737,120.152,https://open.spotify.com/track/0L6i8fI0Yci7I90xPQYYSn
Passive Aggressive,Placebo,34HSUJ4F3wRUIX89HwOBQz,"rock, alternative, indie, alternative_rock, indie_rock, british, love, beautiful, britpop",Rock,2000,324026,0.394,0.51,-8.407,0.0335,0.00367,0.378,0.112,0.1,108.275,https://open.spotify.com/track/34HSUJ4F3wRUIX89HwOBQz
Wishes,Beach House,2IxB0hw4LOQbFOwOb7zqTT,"indie_rock, american, beautiful",Rock,2012,279680,0.368,0.772,-7.31,0.0315,0.163,0.0696,0.246,0.213,74.822,https://open.spotify.com/track/2IxB0hw4LOQbFOwOb7zqTT
First,Cold War Kids,0aGSUNleFqs5HNEJcwqvXJ,"rock, alternative, indie, indie_rock",Pop,2014,200360,0.468,0.692,-4.015,0.0295,0.0202,2.39e-06,0.523,0.561,78.009,https://open.spotify.com/track/0aGSUNleFqs5HNEJcwqvXJ
Poppin' Champagne,All Time Low,1x6juwwMuTH4HnksuciAQA,"indie_rock, emo",Rock,2008,199973,0.579,0.873,-3.366,0.0586,0.0257,0.0,0.389,0.581,123.023,https://open.spotify.com/track/1x6juwwMuTH4HnksuciAQA
Cuntry Boys & City Girls,The Fratellis,04rX7DbNkxdU9EJOEZjAd3,"rock, indie, indie_rock, british, post_punk, 00s",Rock,2006,213373,0.548,0.942,-3.719,0.125,0.000606,0.0,0.0532,0.682,89.377,https://open.spotify.com/track/04rX7DbNkxdU9EJOEZjAd3
Underwear,Pulp,0KUHs6stBOi1qqsy1JIjJ6,"indie_rock, british, 90s, britpop",unknown,1995,246306,0.277,0.633,-9.448,0.0311,0.115,2.8e-06,0.117,0.211,96.646,https://open.spotify.com/track/0KUHs6stBOi1qqsy1JIjJ6
Handcuffs,Brand New,03taQ7UqpRVemh6pe38MDF,"rock, alternative, indie, indie_rock, emo, mellow",unknown,2006,250906,0.538,0.436,-8.972,0.0252,0.184,9.6e-05,0.0933,0.159,102.601,https://open.spotify.com/track/03taQ7UqpRVemh6pe38MDF
April Skies,The Jesus and Mary Chain,0LoYzWD7MZWkcyRI5YqK1Z,"rock, alternative, indie_rock, 80s, british, new_wave, post_punk",Rock,2011,239133,0.539,0.755,-6.356,0.0355,0.0216,0.455,0.133,0.606,118.78,https://open.spotify.com/track/0LoYzWD7MZWkcyRI5YqK1Z
Just Looking,Stereophonics,0lUOhmcuJ9AcDYL6AWTzCk,"rock, indie, indie_rock, british, 90s, britpop",Rock,2010,253720,0.372,0.483,-6.726,0.0258,0.11,2.06e-06,0.173,0.0429,99.943,https://open.spotify.com/track/0lUOhmcuJ9AcDYL6AWTzCk
The Coast Is Always Changing,Maxïmo Park,06ycfmHg6kss8IdKTVz53O,"rock, alternative, indie, indie_rock, british, indie_pop, britpop",Rock,2006,198253,0.541,0.825,-4.125,0.116,0.0331,2.79e-06,0.207,0.878,174.834,https://open.spotify.com/track/06ycfmHg6kss8IdKTVz53O
Blue Boy,Mac DeMarco,1CKm95B5JmaSCnZLquInM4,"rock, indie, indie_rock, singer_songwriter, post_punk, indie_pop",Rock,2014,126223,0.489,0.793,-5.848,0.0421,0.444,0.3,0.213,0.603,81.326,https://open.spotify.com/track/1CKm95B5JmaSCnZLquInM4
The Man Who Would Be King,The Libertines,2UqExsZrgnHFggI6QUwxtg,"rock, indie, indie_rock, british, post_punk, britpop",Rock,2004,239013,0.471,0.655,-5.857,0.0306,0.414,0.000356,0.164,0.542,117.654,https://open.spotify.com/track/2UqExsZrgnHFggI6QUwxtg
Qué Onda Guero,Beck,1YMHAE9wq4m1eyLdg246lI,"rock, alternative, indie_rock, singer_songwriter, dance, rap, hip_hop, funk, male_vocalists, 00s",unknown,2005,209306,0.806,0.572,-7.846,0.0606,0.255,0.00921,0.389,0.923,95.817,https://open.spotify.com/track/1YMHAE9wq4m1eyLdg246lI
Aberdeen,Cage the Elephant,0n31Av9edkWBokaX9hK5GW,"alternative_rock, indie_rock, american",unknown,2011,192920,0.154,0.972,-3.624,0.111,0.000904,0.225,0.368,0.225,205.478,https://open.spotify.com/track/0n31Av9edkWBokaX9hK5GW
Weapon of Choice,Black Rebel Motorcycle Club,2CpcG75q9WnxLX0wUiOmbz,"rock, alternative_rock, indie_rock, american, 00s",unknown,2007,169266,0.438,0.998,-1.948,0.161,0.00453,5.42e-06,0.231,0.172,149.104,https://open.spotify.com/track/2CpcG75q9WnxLX0wUiOmbz
Team Mate,Kaiser Chiefs,3i41Tz8Xv1m4JHeiIPi3iT,"rock, indie, indie_rock, british, indie_pop, britpop",Rock,2005,204400,0.561,0.591,-8.59,0.0293,0.00181,0.214,0.0896,0.182,108.106,https://open.spotify.com/track/3i41Tz8Xv1m4JHeiIPi3iT
Sylvia,The Antlers,04aJZJ2bzWcLw7SLeTN5N0,"indie, indie_rock, american, 00s",unknown,2009,327106,0.348,0.75,-8.007,0.048,0.619,0.841,0.298,0.227,109.996,https://open.spotify.com/track/04aJZJ2bzWcLw7SLeTN5N0
Spilt Needles,The Shins,0lB9ERLxK5aldrmyFRkVKe,"indie, indie_rock, indie_pop, 00s",unknown,2007,225626,0.568,0.794,-4.976,0.0296,0.00397,0.00135,0.373,0.563,122.967,https://open.spotify.com/track/0lB9ERLxK5aldrmyFRkVKe
Your Love Alone Is Not Enough,Manic Street Preachers,02awQMwtRmexofRIO7lO4A,"rock, alternative_rock, indie_rock, british, 00s, britpop",unknown,2007,236680,0.351,0.933,-3.118,0.0476,0.00205,5.26e-06,0.375,0.221,126.653,https://open.spotify.com/track/02awQMwtRmexofRIO7lO4A
Mi Amigo,Kings of Leon,0Gf3st5JHOk8kJjwE3toOO,"rock, alternative, alternative_rock, indie_rock",Latin,2003,246800,0.585,0.629,-8.354,0.0382,0.0827,0.0307,0.147,0.576,71.354,https://open.spotify.com/track/0Gf3st5JHOk8kJjwE3toOO
Where Nobody Knows,Kings of Leon,0QqSKmUaX30uuw4ZOsGHYH,"rock, indie, alternative_rock, indie_rock, 00s",Rock,2004,144520,0.689,0.43,-8.415,0.0423,0.498,0.0,0.0545,0.361,105.481,https://open.spotify.com/track/0QqSKmUaX30uuw4ZOsGHYH
Major Label Debut,Broken Social Scene,0bU95zxOR3G1QRtSFCcVsG,"indie, indie_rock, indie_pop, mellow",Rock,2005,268293,0.501,0.705,-11.546,0.0377,0.362,0.00119,0.161,0.461,104.023,https://open.spotify.com/track/0bU95zxOR3G1QRtSFCcVsG
Trani,Kings of Leon,0CZhJ2E99K6GUhhXdr2aU6,"rock, alternative, indie, indie_rock, american, 00s",Rock,2003,300573,0.387,0.406,-8.29,0.0335,0.0115,0.0124,0.0674,0.132,155.467,https://open.spotify.com/track/0CZhJ2E99K6GUhhXdr2aU6
Learnt My Lesson Well,Kaiser Chiefs,0pNJbAEE1Uk1JMt8zm7S7K,"rock, indie, indie_rock, british, britpop",Rock,2007,233906,0.356,0.887,-3.759,0.0749,0.0347,0.0,0.113,0.481,173.715,https://open.spotify.com/track/0pNJbAEE1Uk1JMt8zm7S7K
Well Thought Out Twinkles,Silversun Pickups,0dQnUUdHMoTQaaaoAotAZC,"rock, alternative, indie, alternative_rock, indie_rock, 00s",Rock,2006,242133,0.506,0.899,-4.392,0.0344,4.88e-05,0.00574,0.162,0.534,122.163,https://open.spotify.com/track/0dQnUUdHMoTQaaaoAotAZC
Karen,The National,5LYKaWkIpuKS9fLJAf4TbL,"rock, alternative, indie, indie_rock, american, beautiful, 00s",unknown,2005,239120,0.661,0.628,-6.532,0.0243,0.267,0.744,0.108,0.737,97.977,https://open.spotify.com/track/5LYKaWkIpuKS9fLJAf4TbL
Fortress,Pinback,0aSBgvxWnE0d6ATNJbsvAb,"indie, indie_rock, indie_pop, mellow, chill",unknown,2005,249480,0.804,0.583,-8.14,0.0394,0.0979,0.405,0.12,0.937,117.209,https://open.spotify.com/track/0aSBgvxWnE0d6ATNJbsvAb
Hate (I Really Don't Like You),Plain White T's,1M99sietD7r4OWEiIwQGKa,"rock, alternative, indie, indie_rock, punk_rock, emo, 00s",Rock,2007,224440,0.449,0.808,-4.63,0.0338,0.00201,0.0,0.102,0.511,161.945,https://open.spotify.com/track/1M99sietD7r4OWEiIwQGKa
Me And The Moon,The Drums,2CQOIa8xytonroUhqvijHf,"indie, indie_rock, post_punk, indie_pop",Rock,2010,191613,0.499,0.961,-4.943,0.0359,0.000401,0.00425,0.178,0.83,169.982,https://open.spotify.com/track/2CQOIa8xytonroUhqvijHf
Lit Up,The National,5fsclfTnWFk4IWNkqTLEX4,"rock, alternative, indie, indie_rock, american, 00s, mellow",Rock,2005,175026,0.429,0.866,-5.111,0.0369,0.00315,0.0253,0.0733,0.565,149.749,https://open.spotify.com/track/5fsclfTnWFk4IWNkqTLEX4
Yes Please,Muse,2j2rty5QOqFNPLFYRM9Ca3,"rock, alternative, alternative_rock, indie_rock, hard_rock, progressive_rock, british",Rock,2000,185933,0.0839,0.886,-5.124,0.0574,1.85e-05,0.885,0.108,0.392,170.11,https://open.spotify.com/track/2j2rty5QOqFNPLFYRM9Ca3
The Only One I Know,The Charlatans,06wJ8qCW5MNpg6wSmokSs7,"indie, indie_rock, british, 90s, britpop",unknown,2013,237480,0.597,0.827,-5.897,0.0306,0.00214,0.000302,0.089,0.435,113.257,https://open.spotify.com/track/06wJ8qCW5MNpg6wSmokSs7
Living for the Weekend,Hard-Fi,0RykWOT2uGXJmOyrHObwK4,"rock, indie, indie_rock, british, 00s, britpop",unknown,2013,222666,0.31,0.815,-5.916,0.0681,2.32e-05,0.00611,0.17,0.555,129.988,https://open.spotify.com/track/0RykWOT2uGXJmOyrHObwK4
Map Of Your Head,Muse,0B6mIIDuB5fquxcRCHJrwg,"rock, alternative, alternative_rock, indie_rock, progressive_rock, british, chillout, acoustic, britpop, mellow",Rock,2001,263599,0.586,0.571,-10.111,0.0532,0.256,0.000211,0.0283,0.344,150.511,https://open.spotify.com/track/0B6mIIDuB5fquxcRCHJrwg
Worried About Ray,The Hoosiers,029oYmzdoBqZKgIEbY3w8l,"rock, indie, indie_rock, british, indie_pop, britpop",unknown,2008,166786,0.494,0.807,-3.629,0.032,0.00185,0.0,0.103,0.56,174.098,https://open.spotify.com/track/029oYmzdoBqZKgIEbY3w8l
Caligulove,Them Crooked Vultures,5o3Ry6h5lN7Abhn3SugK6F,"rock, alternative_rock, indie_rock, hard_rock, psychedelic, psychedelic_rock, 00s, grunge, blues_rock",Rock,2009,295280,0.411,0.862,-4.119,0.075,0.00473,0.0173,0.43,0.48,119.993,https://open.spotify.com/track/5o3Ry6h5lN7Abhn3SugK6F
Available,The National,1SAbuxCnHtL0JjVec9aUVp,"alternative, indie, indie_rock, beautiful",Rock,2003,200026,0.297,0.871,-5.331,0.0619,0.00178,0.843,0.206,0.178,143.921,https://open.spotify.com/track/1SAbuxCnHtL0JjVec9aUVp
